FID,sampledate,station,stream,stream_notes,bioassessment_site,crewleader,crewmember,upstream_long,upstream_lat,downstream_long,downstream_lat,bankfull_active,widthcount,width1_m,width2_m,width3_m,width4_m,width5_m,avg_width_m,reachlen_m,trans_spacing_m,dom_landuse,wet_channel_pct,veg_pct,bedrock_pct,alluvium_pct,human_influ,human_influ_other,longslope_startingT,t1_distRC_m,t1_surveylvl_m,t1_waterdepth_m,t1_backsight_m,t2_surveylvl_m,t2_waterdepth_m,t2_backsight_m,t3_surveylvl_m,t3_waterdepth_m,t3_backsight_m,t4_surveylvl_m,t4_waterdepth_m,t4_backsight_m,t5_surveylvl_m,t5_waterdepth_m,t5_backsight_m,t6_surveylvl_m,t6_waterdepth_m,t6_backsight_m,t7_surveylvl_m,t7_waterdepth_m,t7_backsight_m,t8_surveylvl_m,t8_waterdepth_m,t8_backsight_m,t9_surveylvl_m,t9_waterdepth_m,t9_backsight_m,t10_distRC_m,t10_surveylvl_m,t10_waterdepth_m,t10_backsight_m,RC_depth_m,site_notes
45,9/11/2018 0:00,South_UL3_26793,Arroyo Simi Creek,"Arroyo Simi Creek, VC7",VC7,"KT, LT","CF, JT",-118.726025,34.26443935,-118.727786,34.26406746,bankfull,4,10,11.54,11.29,12,0,11.2075,168.1125,18.67916667,urban,0,5,0,95,"urbanization,roads","Dense urbanization, concrete lined in upper watershed, one culvert draining near T7
Artificially confined width? with alluvial bed and banks, urban development surrounding
",t10,0,1.14,0,,,,,1.155,0,,,,,1.15,0,,,,,1.155,0,,,,,1.31413,0,,0,1.304,0,,0.82,"Aggradational, gentle sloping. Wide wash. Sandy and cobble bed, fine sand banks. Fluvial erosion on both banks. Some mass failure blocks along the r bank"
46,9/12/2018 0:00,South_PH2_24119,Sespe Creek,"Sespe Ck, 403S07227",403S07227,"KT, LT","CF, JT",-119.1668208,34.56226111,-119.1652742,34.56248334,bankfull,4,10.35,10.6,6.98,10.5,0,9.6075,144.1125,16.0125,forest,0,4,10,86, ,Small camp ground and trails,t1,0,1.37,0,,,,,1.435,0,,,,,1.15,0,0.72,,,,1.21,0,,,,,1.2,0,1.69,-2.6,1.345,0,,0.5,"Cobble bedded with bedrock and some fines
Wide wash, looks stable no signs of erosion
No urban development"
47,9/12/2018 0:00,South_CH4_24236,Lion Creek,"Lion Creek Upper, 403M01539",403M01539,"KT, LT","JT, CF",-119.1651907,34.54711375,-119.165641,34.547651,bankfull,5,4.9,3.4,5.85,5.96,2.77,4.576,68.64,7.626666667,forest,80,2,5,13, ,"Previous burn area (not in hotspot map but did burn)
Trails and campground recreation",t10,0,1.64,0.06,,,,,2.25,0.26,1.96,,,,0.966,0.12,2.515,,,,1.419,0.22,,1.745,0.28,1.965,2.38,0.33,,9.3,2.14,0.07,,0.19,"Steep cascade step pool
Cobble boulder and bedrock
Upstream of T1 is flatter wider more depositional, didn’t want to extend to that area diff geomorphic enviro 
Previous burn area"
48,9/13/2018 0:00,South_PH1_17267,Matilija Creek,"Matilija Creek; VENTURA 14, near 402SNPMCR",VENTURA 14,"KTQ, LT","CF, JT",-119.377883,34.50538812,-119.3744549,34.50451268,bankfull,4,26.05,19.13,17.88,23.49,0,21.6375,324.5625,36.0625,forest,12,15,0,73,roads,Hiking trails and recreation,t10,9.72,0.66,0.09,,,,,2.022,0.22,,,,,1.145,0.23,4.12,,,,2.172,0.17,,,,,1.725,0.1,3.348,0,2.369,0.105,,0.57,"Braided multithread channel
Primarily undeveloped although one home near upstream end of reach T1 and a road left of channel"
49,10/5/2018 0:00,South_PL3_28608,Las Virgenes Creek,"Las Virgenes Creek, 404S35418",404S35418,"KTQ, LLT",CF,-118.7084926,34.08282364,-118.70773,34.082531,bankfull,4,4.37,6.53,4.42,5.37,0,5.1725,77.5875,8.620833333,forest,2,10,0,88,"roads,urbanization","Water treatment plant to the right of creek, discharge is downstream of assessment reach",t1,0,1.117,0,,,,,1.497,0,,,,,1.655,0,,,,,1.849,0,1.29,,,,1.205,0,,1.74,0.93,0,,0.28,"Cobble bedded stream located adjacent to sewage treatment plant but discharge is downstream of reach 
Some signs of incision"
50,7/24/2018 0:00,South_CH4_43757,Santiago Creek,Santiago creek 1 - hydromod,Santiago1,KTQ,LT,-117.6167,33.70904,-117.61761,33.7093,bankfull,5,8.95,4.37,4.47,4.4,8.4,6.118,91.77,10.19666667,forest,0,15,5,80, ,Some houses but mainly undisturbed,t10,0,1.06,0,,,,,1.5,0,,0.94,0,1.58,1.09,0,,,,,1.51,0,1.41,,,,1.67,0,,0,1.816,0,,,Steep vertical wall along on Lbank where channel bends
51,7/27/2018 0:00,South_CH3_43684,Silverado Creek,"Silverado Creek, Silverado Creek 1",Silverado1,KT,"LT, JT",-117.60973,33.74651,-117.60906,33.74622,bankfull,5,6.52,6.98,5.72,3.8,4.25,5.454,81.81,9.09,forest,1,20,50,29,roads, ,t10,0,1.05,0,,,,,1.265,0,,,,,1.61,0,,0.61,0,1.89,1.65,0.15,,,,,1.6,0,,0.65,1.865,0,,,"Site mostly dry, alt riffle run with one small pool. Lots of veg mule fat, grasses, lots poison oak, mostly dry, some culverts draining in, stable"
52,7/30/2018 0:00,South_CH1_45567,Trabuco Canyon,"Trabuco Canyon, 901ATCTCX",901ATCTCX,KT,"LT, AB, CF, AJ",-117.54604,33.67464,-117.54684,33.67455,bankfull,5,4.66,5.92,5.21,6.06,5.05,5.38,80.7,8.966666667,forest,0,25,0,75,roads,"Dirt road above the right bank, road crossing outside of the upstream end",t10,0,0.98,0,,,,,1.295,0,,,,,0.55,0,1.59,,,,0.855,0,,,,,1.76,0,,0,1.845,0,,,"Dirt road above the edge of the r bank, road crossing upstream of T2 but not within immediate impact, no signs of incision in site reach"
53,8/2/2018 0:00,South_CH3_45554,Arroyo Trabuco Creek,"Arroyo Trabuco Creek, REF-TCAS",REF-TCAS,KT,"LT, AJ, AB",0,0,-117.5370813,33.67395,bankfull,5,4.58,3.27,5.78,4.9,6.52,5.01,75.15,8.35,forest,0,10,40,50,roads,Small pipe leaking into bedrock area at 40 m from downstream end. One paved road on left valley side,t10,-2.15,1.095,0,,,,,1.785,0,,,,,0.84,0,1.99,,,,0.695,0,2.16,,,,1.105,0,,0,1.35,0,,,"Boulder bedrock riffle run cascade, stable"
54,8/6/2018 0:00,South_PL1_45716,Arroyo Trabuco Creek,901M14138 Arroyo Trabuco,901M14138,LLT,"AJ, AB",-117.63964,33.5779,-117.64142,33.57687,bankfull,5,12.65,10.84,14.6,19.37,10.46,13.584,203.76,22.64,urban,0,5,0,95,urbanization,"Fire road, human influence on trails, bankfull heavily vegetated with Arundo and thick grass",t10,0,0.99,0,,,,,1.97,0,,,,,0.96,0,2.18,,,,1.22,0,2.11,,,,1.77,0,,0,2.095,0,,, 
55,8/8/2018 0:00,South_PL2_44819,Serrano Creek,Serrano creek 9a,Serrano9A,KT,"LT, JT, AJ",-117.67091,33.66346,-117.67141,33.66339,bankfull,5,2.65,4.42,3.19,3.54,2.99,3.358,50.37,5.596666667,urban,0,15,0,85,urbanization,Surrounded by industrial,t10,-15.27,1.75,0,,,,,1.74,0,,,,,1.805,0,,,,,1.92,2.315,,,,,2.315,2.13,,0,2.13,0,,,"Fine sand, silt, steep invised banks. Sandy bed with some cobble but few. Highly unstable, trees falling from bank failure. Currently in widening phase and some parts aggradational"
56,8/8/2018 0:00,South_PL2_44800,Serrano Creek,"Serrano Creek, 801M12665", 801M12665,KT,"LT, AJ, JT",0,0,-117.69701,33.64891,bankfull,5,3.84,4.6,8.65,7.37,6.43,6.178,92.67,10.29666667,urban,50,35,0,15,urbanization,"Rip rap dam ~20m upstream of t1, also rip rap 80m",t10,20.24,1.635,0.325,,,,,1.24,0.06,1.395,,,,1.315,0.045,,,,,1.22,0.1,1.575,,,,1.775,0.33,,8.59,1.53,0.075,,,"Stable channel, flow. Site conceptualization see T1 photo"
57,8/9/2018 0:00,South_CH2_10195,San Gabriel River,"E fork San Gabriel River, 405SGEASC",405SGEASC,"KT, LT",AJ,-117.81834,34.23614,-117.81942,34.23656,bankfull,5,3.47,6.04,7,8.14,10.02,6.934,104.01,11.55666667,forest,90,2,0,7, ,"Primarily undeveloped, road not too close in proximity",t10,-1.5,1.345,0.15,,,,,1.29,0.11,1.805,,,,1.49,0.18,1.405,,,,1.599,0.185,,,,,1.52,0.105,,-9.25,1.575,0.125,,,See T1 pic for site conceptualization
58,8/16/2018 0:00,South_PL1_28573,Malibu Creek,"Malibu Creek, SMC028573",SMC02152,"KT, LT","CF, AJ, AB",0,0,-118.7216182,34.09805107,bankfull,5,24,15.5,20.3,19.6,9.05,17.69,265.35,29.48333333,forest,0,5,3,92, ,Undeveloped on Malibu Creek State Park. Unpaved road/trail but no signs of impact,t10,0,2.23,0,,,,,2.35,2.23,,,,,2.52,0,,,,,2.97,0,3.69,,,,2.5,0,,0,1.89,0,,,"No repeating riffle sequence, mostly runs and poolsCoarse cobble gravel bed, broad wash. Active channel has thick algal mat. Looks stable with little signs of incion or widening Did not start long profile on a riffle crest. Site conceptzn see T1 pic"
59,8/16/2018 0:00,South_PL4_28521,Las Virgenes Creek,Las Virgenes Creek; 404S26868,404S26868,"Kt, Lt","AB, Cf, AJ",-118.7170872,34.0973684,-118.7177,34.0967,bankfull,5,7.26,3.95,6.5,4.64,6.14,5.698,85.47,9.496666667,forest,85,5,0,5, ,Primarily undeveloped. Some trails nearby but little signs of influence on stability,t10,-11.7,0.995,0.13,,,,,1.13,0.27,1.03117,,,,1.263,0.4,,,,,1.34,0.365,,,,,1.18,0.205,,0,1.1,0.1,,,"Primarily stable, riffle pool run sequence. See t1 photo for conceptualization"
60,8/16/2018 0:00,South_PL1_28522,Las Virgenes Creek,"Las Virgenes Creek, 404S13416",404S13416,"Kt, LT","Aj, AB, cf",-118.71526,34.09937,-118.71737,34.09675,bankfull,5,3.76,4.39,5.38,5.23,4.85,4.722,70.83,7.87,forest,90,8,0,2, ,Primarily undeveloped. No nearby trails,t10,-15.8,1.91,0.18,,,,,2.43,0.681,,,,,1.595,0.22,2.205,,,,1.725,0.41,,,,,2.03,0.34,,0,1.77,0.15,,,"Stable, coarse sand fine gravel bed, sink in when wading. Alt riffle run pool seq. Site concept see T1 photo"
